type,filename,dokid,datokode,tittel,korttittel,departement,etat,rettsomraade,i_kraft,siste_endring_i_kraft,sist_endret_ved,publisert_i,gjelder_for,siste_rettelse,refid,url
lov,nl-20200623-099.xml,NL/lov/2020-06-23-99,LOV-2020-06-23-99,Lov om tilskudd ved avbrutt permittering (økonomiske tiltak i møte med virusutbruddet),Lov om tilskudd ved avbrutt permittering,Finansdepartementet,,Arbeidsrett > Arbeidsforhold. Sysselsetting Skatte- og avgiftsrett > Inntekts- og formueskatt > Skattesubjektene og skattepliktens omfang Skatte- og avgiftsrett > Skatteforvaltning HMS og beredskaps- og sikkerhetsrett > Beredskap,2020-06-23,2026-01-01,lov/2025-04-25-12 fra 2026-01-01,,,,lov/2020-06-23-99,https://lovdata.no/lov/2020-06-23-99
lov,nl-20201106-127.xml,NL/lov/2020-11-06-127,LOV-2020-11-06-127,"Lov om integrering gjennom opplæring, utdanning og arbeid (integreringsloven)",Integreringsloven,Arbeids- og inkluderingsdepartementet,,Pensjons- og trygderett Utlendingsrett,2021-01-01,2026-01-01,"lov/2025-06-20-39 fra 2026-01-01, lov/2025-06-20-84 fra 2025-09-01",,,2022-03-10 (tegnsetting i lister tilpasset universell utforming),lov/2020-11-06-127,https://lovdata.no/lov/2020-11-06-127
lov,nl-20201120-128.xml,NL/lov/2020-11-20-128,LOV-2020-11-20-128,Lov om revisjon og revisorer (revisorloven),Revisorloven,Finansdepartementet,,"Bank, finans og regnskapsrett > Revisjon","2021-01-01, 2021-05-01",2025-04-01,"lov/2024-06-21-41 fra 2025-04-01, lov/2024-06-21-42 fra 2024-11-01",,,2024-12-02 (§ 1-2 annet ledd),lov/2020-11-20-128,https://lovdata.no/lov/2020-11-20-128
lov,nl-20201127-131.xml,NL/lov/2020-11-27-131,LOV-2020-11-27-131,Lov om overgangsregler mv. ved Storbritannias uttreden fra Den europeiske union (brexit-loven),Brexit-loven,Justis- og beredskapsdepartementet,,"EU/EØS-rett EU/EØS-rett > Arbeids- og sosialpolitikk Skoler, universiteter og forskning > Skoler. Privatskoler Stats-, statsforfatnings- og statsborgerrett","2020-11-27, 2021-01-01",2022-11-25,lov/2022-11-25-86,,,2022-03-10 (tegnsetting i lister tilpasset universell utforming),lov/2020-11-27-131,https://lovdata.no/lov/2020-11-27-131
lov,nl-20201204-136.xml,NL/lov/2020-12-04-136,LOV-2020-12-04-136,Lov om informasjonstilgang m.m. for den uavhengige kommisjonen som skal gjennomgå og evaluere myndighetenes håndtering av covid-19-pandemien i Norge (Koronakommisjonen),Koronakommisjonsloven,Justis- og beredskapsdepartementet,,IKT- og medierett > Personopplysninger HMS og beredskaps- og sikkerhetsrett > Samfunnssikkerhet,2020-12-04,2026-01-01,lov/2025-06-20-96 fra 2026-01-01,,,,lov/2020-12-04-136,https://lovdata.no/lov/2020-12-04-136
lov,nl-20201218-139.xml,NL/lov/2020-12-18-139,LOV-2020-12-18-139,Lov om endringer i folketrygdloven (nye etterlatteytelser),Endringslov til folketrygdloven (nye etterlatteytelser),Arbeids- og inkluderingsdepartementet,,Pensjons- og trygderett,2024-01-01,2023-12-20,lov/2023-12-20-95,,,2022-03-10 (tegnsetting i lister tilpasset universell utforming),lov/2020-12-18-139,https://lovdata.no/lov/2020-12-18-139
lov,nl-20201218-146.xml,NL/lov/2020-12-18-146,LOV-2020-12-18-146,Lov om finansavtaler (finansavtaleloven),Finansavtaleloven,Justis- og beredskapsdepartementet,,"Bank, finans og regnskapsrett > Banker Bank, finans og regnskapsrett > Betalingsformidling Bank, finans og regnskapsrett > Børs- og verdipapir Bank, finans og regnskapsrett > Forsikring","2023-01-01, Kongen bestemmer",2025-08-01,lov/2025-04-10-11 fra 2025-08-01,,,2022-02-24 (tegnsetting i lister tilpasset universell utforming),lov/2020-12-18-146,https://lovdata.no/lov/2020-12-18-146
lov,nl-20201218-153.xml,NL/lov/2020-12-18-153,LOV-2020-12-18-153,Lov om økonomisk støtte til mediene (mediestøtteloven),Mediestøtteloven,Kultur- og likestillingsdepartementet,,IKT- og medierett,2021-01-01,2025-01-01,lov/2024-05-14-22 fra 2025-01-01,,,,lov/2020-12-18-153,https://lovdata.no/lov/2020-12-18-153
lov,nl-20201218-156.xml,NL/lov/2020-12-18-156,LOV-2020-12-18-156,Lov om midlertidig tilskuddsordning for foretak med stort omsetningsfall etter august 2020,Lov om midl. tilskudd ved omsetningsfall etter august 2020,Nærings- og fiskeridepartementet,,"Pensjons- og trygderett > Utenfor folketrygdloven Selskaper, fond og foreninger > Foretak",2020-12-18,2022-01-28,lov/2022-01-28-3,,,,lov/2020-12-18-156,https://lovdata.no/lov/2020-12-18-156
lov,nl-20201221-175.xml,NL/lov/2020-12-21-175,LOV-2020-12-21-175,Lov om midlertidig tilskuddsordning for foretak med utgifter til innreisekarantene ved bruk av arbeidskraft fra utlandet,Lov om midl. tilskudd for innreisekarantene,Nærings- og fiskeridepartementet,,Næringsrett,2020-12-21,,,,,,lov/2020-12-21-175,https://lovdata.no/lov/2020-12-21-175
lov,nl-20210305-007.xml,NL/lov/2021-03-05-7,LOV-2021-03-05-7,Lov om endringar i deltakerloven og havressurslova (endringar i kvotesystemet),Endringslov til deltakerloven og havressurslova,Nærings- og fiskeridepartementet,,"Fiskeri- og fangstrett og havbruk > Fangst Fiskeri- og fangstrett og havbruk > Fiskeri Landbruk, jakt og skogbruk > Jakt og innlandsfiske Svalbard og biland > Fiske","2022-01-01, Kongen fastset",,,,,2022-03-10 (tegnsetting i lister tilpasset universell utforming),lov/2021-03-05-7,https://lovdata.no/lov/2021-03-05-7
