type,filename,dokid,datokode,tittel,korttittel,departement,etat,rettsomraade,i_kraft,siste_endring_i_kraft,sist_endret_ved,publisert_i,gjelder_for,siste_rettelse,refid,url
lov,nl-19810306-005.xml,NL/lov/1981-03-06-5,LOV-1981-03-06-5,Lov om barneombud [barneombudsloven],Barneombudsloven,Barne- og familiedepartementet,,"Familie-, person- og barnerett > Barn og foreldre",1981-09-01,2023-09-01,lov/2023-06-16-42 fra 2023-09-01,,,"2021-09-10 (faglige fotnoter fjernet, struktur)",lov/1981-03-06-5,https://lovdata.no/lov/1981-03-06-5
lov,nl-19810313-006.xml,NL/lov/1981-03-13-6,LOV-1981-03-13-6,Lov om vern mot forurensninger og om avfall (forurensningsloven),Forurensningsloven - forurl,Klima- og miljødepartementet,,"Forurensninger, klima og utslipp > Forurensninger HMS og beredskaps- og sikkerhetsrett > Helse, miljø og sikkerhet Miljøvern, natur og friluftsliv > Naturmangfold/naturfredning",1983-10-01,2026-06-19,lov/2026-06-19-54,,,2023-01-10 (EØS-henvisninger),lov/1981-03-13-6,https://lovdata.no/lov/1981-03-13-6
lov,nl-19810408-007.xml,NL/lov/1981-04-08-7,LOV-1981-04-08-7,Lov om barn og foreldre (barnelova),Barnelova - bl,Barne- og familiedepartementet,,"Familie-, person- og barnerett > Barn og foreldre",1982-01-01,2026-01-01,lov/2025-04-25-12 fra 2026-01-01,,,2023-03-07 (inkurienote § 69),lov/1981-04-08-7,https://lovdata.no/lov/1981-04-08-7
lov,nl-19810522-025.xml,NL/lov/1981-05-22-25,LOV-1981-05-22-25,Lov om rettergangsmåten i straffesaker (Straffeprosessloven),Straffeprosessloven - strpl,Justis- og beredskapsdepartementet,,Sivil- og straffeprosess > Straffeprosess/straffeprosessloven,1986-01-01,2026-01-01,"lov/2025-04-25-12 fra 2026-01-01, lov/2025-06-10-32 fra 2025-07-01",,,2026-01-25 (note § 231),lov/1981-05-22-25,https://lovdata.no/lov/1981-05-22-25
lov,nl-19810529-038.xml,NL/lov/1981-05-29-38,LOV-1981-05-29-38,Lov om jakt og fangst av vilt (viltloven),Viltloven - viltl,Klima- og miljødepartementet Landbruks- og matdepartementet,,"Landbruk, jakt og skogbruk > Jakt og innlandsfiske",1982-04-02,2024-07-01,lov/2024-06-14-37 fra 2024-07-01,,,2022-03-10 (tegnsetting i lister tilpasset universell utforming),lov/1981-05-29-38,https://lovdata.no/lov/1981-05-29-38
lov,nl-19811218-090.xml,NL/lov/1981-12-18-90,LOV-1981-12-18-90,Lov om merking av forbruksvarer mv. (forbrukermerkeloven),Forbrukermerkeloven,Barne- og familiedepartementet,,"EU/EØS-rett > Miljø og klima EU/EØS-rett > Handelsforenklinger Forbruker-, kjøps- og konkurranserett > Forbrukerkjøp Næringsrett > Handel og tjenester",1981-12-18,2020-10-01,lov/2020-06-19-93 fra 2020-10-01,,,2022-04-28 (tegnsetting i lister i forordninger tilpasset universell utforming),lov/1981-12-18-90,https://lovdata.no/lov/1981-12-18-90
lov,nl-19820521-025.xml,NL/lov/1982-05-21-25,LOV-1982-05-21-25,Lov om tillegg til lov 28. juli 1949 om Statens pensjonskasse [høyesterettspensjonsloven],Høyesterettspensjonsloven,Arbeids- og inkluderingsdepartementet,,"Pensjons- og trygderett Selskaper, fond og foreninger",1982-05-21,2024-04-12,lov/2024-04-12-15,,,"2021-07-15 (faglige fotnoter fjernet, struktur)",lov/1982-05-21-25,https://lovdata.no/lov/1982-05-21-25
lov,nl-19820521-029.xml,NL/lov/1982-05-21-29,LOV-1982-05-21-29,Lov om opphevelse av lov 9. november 1956 om pensjonsordning for åremålstilsatte,Lov om opph. av pensjonsordn. for åremålstilsatte,Arbeids- og inkluderingsdepartementet,,Pensjons- og trygderett,1982-05-21,2011-01-01,lov/2010-06-25-29 fra 2011-01-01,,,2021-09-29 (faglige fotnoter fjernet),lov/1982-05-21-29,https://lovdata.no/lov/1982-05-21-29
lov,nl-19821217-084.xml,NL/lov/1982-12-17-84,LOV-1982-12-17-84,Lov om sikre containere [containerloven],Containerloven,Nærings- og fiskeridepartementet,,Arbeidsrett > Arbeidsmiljø Internasjonal rett > Konvensjoner. Overenskomster Transport og kommunikasjoner > Transport,1984-05-01,2015-10-01,lov/2015-06-19-65 fra 2015-10-01,,,"2021-09-10 (faglige fotnoter fjernet, UU-tilpasset)",lov/1982-12-17-84,https://lovdata.no/lov/1982-12-17-84
lov,nl-19821217-086.xml,NL/lov/1982-12-17-86,LOV-1982-12-17-86,Lov om rettsgebyr (rettsgebyrloven),Rettsgebyrloven,Justis- og beredskapsdepartementet,,Sivil- og straffeprosess > Sivilprosess/tvisteloven > Rettsgebyrloven,1983-03-01,2026-01-01,lov/2025-04-25-12 fra 2026-01-01,,,"2021-07-15 (faglige fotnoter fjernet, struktur)",lov/1982-12-17-86,https://lovdata.no/lov/1982-12-17-86
lov,nl-19830603-054.xml,NL/lov/1983-06-03-54,LOV-1983-06-03-54,Lov om tannhelsetjenesten (tannhelsetjenesteloven),Tannhelsetjenesteloven - tannhl,Helse- og omsorgsdepartementet,,Helse- og omsorgsrett > Kommunehelsetjeneste Helse- og omsorgsrett,1984-01-01,2025-07-01,lov/2025-06-20-73 fra 2025-07-01,,,2021-07-01 (faglige fotnoter fjernet),lov/1983-06-03-54,https://lovdata.no/lov/1983-06-03-54
lov,nl-19831223-076.xml,NL/lov/1983-12-23-76,LOV-1983-12-23-76,Lov om midlertidig tillegg til lov av 13. juni 1975 nr. 35 om skattlegging av undersjøiske petroleumsforekomster m.v.,Tilleggslov til petroleumsskatteloven,Finansdepartementet,,Energirett > Petroleumsvirksomhet Skatte- og avgiftsrett > Petroleumsskatt,1983-12-23,1986-12-19,lov/1986-12-19-73,,,,lov/1983-12-23-76,https://lovdata.no/lov/1983-12-23-76
lov,nl-19840406-017.xml,NL/lov/1984-04-06-17,LOV-1984-04-06-17,Lov om vederlag ved oreigning av fast eigedom [ekspropriasjonserstatningslova],Ekspropriasjonserstatningslova - orvl,Justis- og beredskapsdepartementet,,Fast eiendoms rettsforhold > Ekspropriasjon Fast eiendoms rettsforhold > Skjønn,1984-07-01,1997-06-19,lov/1997-06-19-81,,,"2021-08-30 (faglige fotnoter fjernet, UU-tilpasset)",lov/1984-04-06-17,https://lovdata.no/lov/1984-04-06-17
lov,nl-19840608-055.xml,NL/lov/1984-06-08-55,LOV-1984-06-08-55,Lov om linjekonferanser m.v. [linjekonferanseloven],Linjekonferanseloven,Nærings- og fiskeridepartementet,,EU/EØS-rett > Transport Transport og kommunikasjoner > Skipsfart,1985-12-28,2015-10-01,lov/2015-06-19-65 fra 2015-10-01,,,2022-04-22 (tegnsetting i lister tilpasset universell utforming),lov/1984-06-08-55,https://lovdata.no/lov/1984-06-08-55
lov,nl-19840608-058.xml,NL/lov/1984-06-08-58,LOV-1984-06-08-58,Lov om gjeldsforhandling og konkurs (konkursloven),Konkursloven - kkl,Justis- og beredskapsdepartementet,,"Konkurs, gjeld og pant > Gjeldsforhandling. Konkurs Konkurs, gjeld og pant > Gjeldsordning",1986-01-01,2025-01-01,lov/2022-05-12-28 fra 2025-01-01,,,2022-04-22 (tegnsetting i lister tilpasset universell utforming),lov/1984-06-08-58,https://lovdata.no/lov/1984-06-08-58
lov,nl-19840608-059.xml,NL/lov/1984-06-08-59,LOV-1984-06-08-59,Lov om fordringshavernes dekningsrett (dekningsloven),Dekningsloven - deknl,Justis- og beredskapsdepartementet,,"Konkurs, gjeld og pant > Dekningsrett Konkurs, gjeld og pant > Gjeldsforhandling. Konkurs","1986-01-01, 1986-07-01",2026-01-01,lov/2025-04-25-12 fra 2026-01-01,,,2022-04-22 (tegnsetting i lister tilpasset universell utforming),lov/1984-06-08-59,https://lovdata.no/lov/1984-06-08-59
lov,nl-19840608-060.xml,NL/lov/1984-06-08-60,LOV-1984-06-08-60,Lov om ikrafttredelse av ny gjeldsforhandlings- og konkurslovgivning m m,Konkurslovgivningens ikrafttredelseslov,Justis- og beredskapsdepartementet,,"Konkurs, gjeld og pant > Dekningsrett Konkurs, gjeld og pant > Gjeldsforhandling. Konkurs",1986-01-01,2003-01-01,lov/2002-08-30-67 fra 2003-01-01,,,2021-07-07 (faglige fotnoter fjernet),lov/1984-06-08-60,https://lovdata.no/lov/1984-06-08-60
lov,nl-19841221-101.xml,NL/lov/1984-12-21-101,LOV-1984-12-21-101,"Lov om reindrift i kommunene Meldal, Midtre Gauldal, Oppdal, Rennebu, Rindal, Sunndal og Surnadal [Trollheimenloven]",Trollheimenloven,Landbruks- og matdepartementet,,"Landbruk, jakt og skogbruk > Reindrift",1984-12-21,2021-06-01,lov/2021-05-07-34 fra 2021-06-01,,,2021-07-02 (faglige fotnoter fjernet),lov/1984-12-21-101,https://lovdata.no/lov/1984-12-21-101
lov,nl-19850503-024.xml,NL/lov/1985-05-03-24,LOV-1985-05-03-24,Lov om inngåelse av avtale mellom Kongeriket Norge og Folkerepublikken Kina vedrørende gjensidig beskyttelse av investeringer,Lov om avtale mellom Norge og Kina,Nærings- og fiskeridepartementet,,Internasjonal rett > Konvensjoner. Overenskomster,1985-05-03,,,,,"2021-06-21 (faglige noter fjernet, struktur)",lov/1985-05-03-24,https://lovdata.no/lov/1985-05-03-24
lov,nl-19850621-079.xml,NL/lov/1985-06-21-79,LOV-1985-06-21-79,Lov om enerett til foretaksnavn og andre forretningskjennetegn mv. (foretaksnavneloven),Foretaksnavneloven - ftnavnl,Nærings- og fiskeridepartementet,,"Fast eiendoms rettsforhold > Tinglysing. Registrering Immaterialrett > Varemerke. Firma Selskaper, fond og foreninger > Aksjeselskaper og allmennaksjeselskaper",1988-01-01,2026-01-01,lov/2025-06-20-106 fra 2026-01-01,,,"2021-08-24 (faglige fotnoter fjernet, struktur)",lov/1985-06-21-79,https://lovdata.no/lov/1985-06-21-79
lov,nl-19850621-080.xml,NL/lov/1985-06-21-80,LOV-1985-06-21-80,Lov om prokura [prokuraloven],Prokuraloven - prokl,Nærings- og fiskeridepartementet,,"Anskaffelser, avtaler, bygg og entrepriser > Avtaler Selskaper, fond og foreninger > Selskaper. Statsforetak",1988-01-01,2026-01-01,lov/2025-06-20-106 fra 2026-01-01,,,"2021-09-27 (faglige fotnoter fjernet, struktur)",lov/1985-06-21-80,https://lovdata.no/lov/1985-06-21-80
lov,nl-19850621-083.xml,NL/lov/1985-06-21-83,LOV-1985-06-21-83,Lov om ansvarlige selskaper og kommandittselskaper (Selskapsloven),Selskapsloven - sel,Nærings- og fiskeridepartementet,,"Selskaper, fond og foreninger > Selskaper. Statsforetak",1986-07-01,2024-01-01,lov/2023-12-20-114 fra 2024-01-01,,,2022-04-25 (tegnsetting i lister tilpasset universell utforming),lov/1985-06-21-83,https://lovdata.no/lov/1985-06-21-83
lov,nl-19851220-108.xml,NL/lov/1985-12-20-108,LOV-1985-12-20-108,Lov om folkebibliotek (folkebibliotekloven),Folkebibliotekloven,Kultur- og likestillingsdepartementet,,"Kultur, idrett og underholdning > Bibliotek",1986-01-01,2014-01-01,lov/2013-06-21-95 fra 2014-01-01,,,2021-09-09 (faglige fotnoter fjernet),lov/1985-12-20-108,https://lovdata.no/lov/1985-12-20-108
lov,nl-19860620-035.xml,NL/lov/1986-06-20-35,LOV-1986-06-20-35,Lov om mesterbrev i håndverk og annen næring [mesterbrevloven],Mesterbrevloven,Nærings- og fiskeridepartementet,,"Næringsrett > Håndverk Skoler, universiteter og forskning > Skoler. Privatskoler",1987-01-15,2022-12-20,lov/2022-12-20-122,,,"2021-08-01 (faglige fotnoter fjernet, struktur)",lov/1986-06-20-35,https://lovdata.no/lov/1986-06-20-35
lov,nl-19870515-021.xml,NL/lov/1987-05-15-21,LOV-1987-05-15-21,Lov om film og videogram,Film- og videogramlova - filml,Kultur- og likestillingsdepartementet,,"Kultur, idrett og underholdning > Film Næringsrett > Handel og tjenester",1988-01-01,2022-01-01,lov/2021-12-22-168 fra 2022-01-01,,,"2021-08-26 (faglige fotnoter fjernet, struktur)",lov/1987-05-15-21,https://lovdata.no/lov/1987-05-15-21
lov,nl-19870529-023.xml,NL/lov/1987-05-29-23,LOV-1987-05-29-23,Lov om bibliotekvederlag,Bibliotekvederlagsloven,Kultur- og likestillingsdepartementet,,"Immaterialrett > Opphavsrett Kultur, idrett og underholdning > Bibliotek",1987-05-29,2019-08-01,lov/2018-12-20-120 fra 2019-08-01,,,2021-09-27 (faglige fotnoter fjernet),lov/1987-05-29-23,https://lovdata.no/lov/1987-05-29-23
lov,nl-19870612-048.xml,NL/lov/1987-06-12-48,LOV-1987-06-12-48,Lov om norsk internasjonalt skipsregister [NIS-loven],NIS-loven - NISl,Nærings- og fiskeridepartementet,,Fast eiendoms rettsforhold > Tinglysing. Registrering Forvaltnings- og kommunalrett > Statistikk. Registrering Transport og kommunikasjoner > Skipsfart,1987-07-01,2022-12-20,lov/2022-12-20-122,,,"2021-08-16 (faglige fotnoter fjernet, UU-tilpasset)",lov/1987-06-12-48,https://lovdata.no/lov/1987-06-12-48
lov,nl-19870612-056.xml,NL/lov/1987-06-12-56,LOV-1987-06-12-56,Lov om Sametinget og andre samiske rettsforhold (sameloven),Sameloven - samel,Kommunal- og distriktsdepartementet,,Samerett,1989-02-24,2024-08-01,"lov/2023-06-09-30 fra 2024-08-01, lov/2023-06-16-62 fra 2024-05-01",,,2025-09-02 (nordsamisk oversettelse tilføyd),lov/1987-06-12-56,https://lovdata.no/lov/1987-06-12-56
lov,nl-19870612-057.xml,NL/lov/1987-06-12-57,LOV-1987-06-12-57,Lov om forbud mot fallskjermhopping m.v. innenfor visse fjellområder,Lov om forbud mot fallskjermhopping,Justis- og beredskapsdepartementet,,"Kultur, idrett og underholdning > Idrett. Sport Strafferett > Alminnelig strafferett",1987-06-12,2015-10-01,lov/2015-06-19-65 fra 2015-10-01,,,"2021-08-13 (faglige fotnoter fjernet, struktur)",lov/1987-06-12-57,https://lovdata.no/lov/1987-06-12-57
lov,nl-19871218-093.xml,NL/lov/1987-12-18-93,LOV-1987-12-18-93,"Lov om kontroll med eksport av strategiske varer, tjenester og teknologi m.v. [eksportkontrolloven]",Eksportkontrolloven - ekspktrl,Utenriksdepartementet,,"Næringsrett > Inn- og utførsel Stats-, statsforfatnings- og statsborgerrett > Forsvaret",1987-12-18,2021-07-01,lov/2021-06-18-127 fra 2021-07-01,,,2021-07-01 (faglige fotnoter fjernet),lov/1987-12-18-93,https://lovdata.no/lov/1987-12-18-93
lov,nl-19880429-021.xml,NL/lov/1988-04-29-21,LOV-1988-04-29-21,Lov om ferie [ferieloven],Ferieloven - feriel,Arbeids- og inkluderingsdepartementet,,Arbeidsrett > Arbeidsforhold. Sysselsetting,"1990-01-01, 1989-01-01, 1988-05-01",2024-01-01,lov/2023-03-17-3 fra 2024-01-01,,,2022-04-22 (tegnsetting i lister tilpasset universell utforming),lov/1988-04-29-21,https://lovdata.no/lov/1988-04-29-21
lov,nl-19880506-022.xml,NL/lov/1988-05-06-22,LOV-1988-05-06-22,Lov om lønnsplikt under permittering (permitteringslønnsloven),Permitteringslønnsloven,Arbeids- og inkluderingsdepartementet,,Arbeidsrett > Arbeidsforhold. Sysselsetting,1990-10-01,2022-03-01,lov/2021-12-17-147 fra 2022-03-01,,,2021-08-26 (faglige fotnoter fjernet),lov/1988-05-06-22,https://lovdata.no/lov/1988-05-06-22
lov,nl-19880513-026.xml,NL/lov/1988-05-13-26,LOV-1988-05-13-26,Lov om inkassovirksomhet og annen inndriving av forfalte pengekrav (inkassoloven),Inkassoloven - inkl,Justis- og beredskapsdepartementet,,"Bank, finans og regnskapsrett > Betalingsformidling Konkurs, gjeld og pant > Inkasso",1989-10-01,2025-01-01,"lov/2022-05-12-28 fra 2025-01-01, lov/2022-06-03-33 fra 2023-01-01",,,"2021-08-24 (faglige fotnoter fjernet, UU-tilpasset)",lov/1988-05-13-26,https://lovdata.no/lov/1988-05-13-26
lov,nl-19880513-027.xml,NL/lov/1988-05-13-27,LOV-1988-05-13-27,Lov om kjøp [kjøpsloven],Kjøpsloven - kjl,Justis- og beredskapsdepartementet,,"Forbruker-, kjøps- og konkurranserett > Kjøp",1989-01-01,2014-11-01,lov/2014-02-28-2 fra 2014-11-01,,,2026-03-19 (struktur i vedlegg),lov/1988-05-13-27,https://lovdata.no/lov/1988-05-13-27
lov,nl-19880708-072.xml,NL/lov/1988-07-08-72,LOV-1988-07-08-72,Lov om anerkjennelse og fullbyrding av utenlandske avgjørelser om foreldreansvar m v og om tilbakelevering av barn (barnebortføringsloven),Barnebortføringsloven,Barne- og familiedepartementet,,"Familie-, person- og barnerett > Barn og foreldre Internasjonal rett > Konvensjoner. Overenskomster","1989-04-01, 1989-05-01",2018-12-20,lov/2018-12-20-114,,,2024-01-10 (departement),lov/1988-07-08-72,https://lovdata.no/lov/1988-07-08-72
lov,nl-19881223-104.xml,NL/lov/1988-12-23-104,LOV-1988-12-23-104,Lov om produktansvar [produktansvarsloven],Produktansvarsloven - prodansvl,Justis- og beredskapsdepartementet,,"Erstatnings- og forsikringsrett > Produktansvar EU/EØS-rett > Justis og innenriks Forbruker-, kjøps- og konkurranserett > Forbrukerkjøp HMS og beredskaps- og sikkerhetsrett > Samfunnssikkerhet Næringsrett > Handel og tjenester",1989-01-01 og 1989-07-01 (kap 3),2022-07-01,lov/2022-02-18-5 fra 2022-07-01,,,2022-04-25 (tegnsetting i lister tilpasset universell utforming),lov/1988-12-23-104,https://lovdata.no/lov/1988-12-23-104
lov,nl-19890217-002.xml,NL/lov/1989-02-17-2,LOV-1989-02-17-2,Lov om bidragsforskott (forskotteringsloven),Forskotteringsloven - forskl,Barne- og familiedepartementet,,"Familie-, person- og barnerett > Barn og foreldre Pensjons- og trygderett > Utenfor folketrygdloven > Bidragsforskudd",1989-07-01,2026-01-01,lov/2025-04-25-12 fra 2026-01-01,,,2023-01-12 (departementstilhørighet),lov/1989-02-17-2,https://lovdata.no/lov/1989-02-17-2
lov,nl-19890602-027.xml,NL/lov/1989-06-02-27,LOV-1989-06-02-27,Lov om omsetning av alkoholholdig drikk m.v. (alkoholloven),Alkoholloven - alkhl,Helse- og omsorgsdepartementet,,Næringsrett > Inn- og utførsel Næringsrett > Mat og alkohol,1990-01-01,2026-05-29,lov/2026-05-29-21,,,2023-03-15 (EØS-henvisninger),lov/1989-06-02-27,https://lovdata.no/lov/1989-06-02-27
lov,nl-19890609-032.xml,NL/lov/1989-06-09-32,LOV-1989-06-09-32,Lov om avleveringsplikt for allment tilgjengelege dokument (pliktavleveringslova),Pliktavleveringslova - avlvl,Kultur- og likestillingsdepartementet,,"Forvaltnings- og kommunalrett > Offentlig forvaltning Kultur, idrett og underholdning > Arkiv Kultur, idrett og underholdning > Bibliotek",1990-07-01,2016-01-01,lov/2015-06-19-72 fra 2016-01-01,,,2022-04-22 (tegnsetting i lister tilpasset universell utforming),lov/1989-06-09-32,https://lovdata.no/lov/1989-06-09-32
lov,nl-19890616-063.xml,NL/lov/1989-06-16-63,LOV-1989-06-16-63,Lov om håndverkertjenester m.m for forbrukere [håndverkertjenesteloven],Håndverkertjenesteloven - hvtjl,Justis- og beredskapsdepartementet,,"Anskaffelser, avtaler, bygg og entrepriser > Boligoppføring Forbruker-, kjøps- og konkurranserett > Forbrukerkjøp Næringsrett > Håndverk",1990-01-01,2007-06-15,lov/2007-06-15-36,,,"2021-08-23 (faglige fotnoter fjernet, UU-tilpasset)",lov/1989-06-16-63,https://lovdata.no/lov/1989-06-16-63
lov,nl-19890616-065.xml,NL/lov/1989-06-16-65,LOV-1989-06-16-65,Lov om yrkesskadeforsikring (yrkesskadeforsikringsloven),Yrkesskadeforsikringsloven - yforsl,Justis- og beredskapsdepartementet,,Erstatnings- og forsikringsrett > Person- og pasientskadeerstatning Erstatnings- og forsikringsrett > Skadeserstatning,1990-01-01,2022-12-20,lov/2022-12-20-115,,,2024-05-13 (§ 2 struktur),lov/1989-06-16-65,https://lovdata.no/lov/1989-06-16-65
lov,nl-19890616-069.xml,NL/lov/1989-06-16-69,LOV-1989-06-16-69,Lov om forsikringsavtaler (forsikringsavtaleloven),Forsikringsavtaleloven - fal,Justis- og beredskapsdepartementet,,"Bank, finans og regnskapsrett > Forsikring Erstatnings- og forsikringsrett > Ansvarsforsikringer Erstatnings- og forsikringsrett > Livsforsikring Erstatnings- og forsikringsrett > Skadeforsikring",1990-07-01,2025-04-01,lov/2024-06-21-41 fra 2025-04-01,,,2022-03-01 (tegnsetting i lister tilpasset universell utforming),lov/1989-06-16-69,https://lovdata.no/lov/1989-06-16-69
lov,nl-19890616-070.xml,NL/lov/1989-06-16-70,LOV-1989-06-16-70,Lov om naturskadeforsikring,Naturskadeforsikringsloven - natskforsl,Justis- og beredskapsdepartementet,,"Bank, finans og regnskapsrett > Forsikring Erstatnings- og forsikringsrett > Naturskadeforsikring Erstatnings- og forsikringsrett > Skadeforsikring",1990-07-01,2026-01-01,lov/2025-06-20-78 fra 2026-01-01,,,2021-08-13 (faglige fotnoter fjernet),lov/1989-06-16-70,https://lovdata.no/lov/1989-06-16-70
lov,nl-19900427-009.xml,NL/lov/1990-04-27-9,LOV-1990-04-27-9,"Lov om regulering av eksporten av fisk, fiskevarer og marine produkter (fiskeeksportloven)",Fiskeeksportloven - fiskeekspl,Nærings- og fiskeridepartementet,,Fiskeri- og fangstrett og havbruk > Akvakultur. Havbruk Fiskeri- og fangstrett og havbruk > Fiskeri Næringsrett > Inn- og utførsel,1991-07-01,2023-07-01,lov/2023-05-26-15 fra 2023-07-01,,,"2021-09-09 (faglige fotnoter fjernet, UU-tilpasset)",lov/1990-04-27-9,https://lovdata.no/lov/1990-04-27-9
lov,nl-19900518-011.xml,NL/lov/1990-05-18-11,LOV-1990-05-18-11,Lov om stadnamn (stadnamnlova),Stadnamnlova - stadnl,Kultur- og likestillingsdepartementet,,"Kultur, idrett og underholdning > Kulturminner",1991-07-01,2021-06-01,lov/2021-05-07-34 fra 2021-06-01,,,2022-04-04 (tegnsetting i lister tilpasset universell utforming),lov/1990-05-18-11,https://lovdata.no/lov/1990-05-18-11
lov,nl-19900615-027.xml,NL/lov/1990-06-15-27,LOV-1990-06-15-27,Lov om vern av kretsmønstre for integrerte kretser [kretsmønsterloven],Kretsmønsterloven - kretsml,Justis- og beredskapsdepartementet,,EU/EØS-rett > Immaterialrett Immaterialrett > Mønster. Design,1992-01-01,2022-07-01,lov/2021-06-18-122 fra 2022-07-01,,,"2021-08-26 (faglige fotnoter fjernet, struktur)",lov/1990-06-15-27,https://lovdata.no/lov/1990-06-15-27
lov,nl-19900629-050.xml,NL/lov/1990-06-29-50,LOV-1990-06-29-50,"Lov om produksjon, omforming, overføring, omsetning, fordeling og bruk av energi m.m. (energiloven)",Energiloven - enl,Energidepartementet,,Energirett > Elektrisitetsproduksjon og -forsyning HMS og beredskaps- og sikkerhetsrett > Beredskap HMS og beredskaps- og sikkerhetsrett > Samfunnssikkerhet,"1991-01-01, 1990-06-29",2026-01-01,lov/2025-06-20-46 fra 2026-01-01,,,2024-01-01 (ansvarlig departement),lov/1990-06-29-50,https://lovdata.no/lov/1990-06-29-50
lov,nl-19901221-072.xml,NL/lov/1990-12-21-72,LOV-1990-12-21-72,Lov om avgift på utslipp av CO 2 i petroleumsvirksomhet på kontinentalsokkelen,Lov om avgift på utslipp av CO2,Finansdepartementet,,"Energirett > Petroleumsvirksomhet Forurensninger, klima og utslipp > Klimakvoter Skatte- og avgiftsrett > Petroleumsskatt",1990-12-21,2024-04-01,lov/2024-03-22-11 fra 2024-04-01,,,"2021-07-07 (faglige fotnoter fjernet, struktur, UU-tilpasset)",lov/1990-12-21-72,https://lovdata.no/lov/1990-12-21-72
lov,nl-19910704-045.xml,NL/lov/1991-07-04-45,LOV-1991-07-04-45,Lov om rett til felles bolig og innbo når husstandsfellesskap opphører [husstandsfellesskapsloven],Husstandsfellesskapsloven - husfskl,Justis- og beredskapsdepartementet,,"Familie-, person- og barnerett > Ekteskap og samboerskap (husstandsfellesskap) Familie-, person- og barnerett > Skifte",1991-10-01,2021-01-01,lov/2019-06-14-21 fra 2021-01-01,,,"2021-07-07 (faglige fotnoter fjernet, struktur)",lov/1991-07-04-45,https://lovdata.no/lov/1991-07-04-45
lov,nl-19910704-047.xml,NL/lov/1991-07-04-47,LOV-1991-07-04-47,Lov om ekteskap (ekteskapsloven),Ekteskapsloven - el,Barne- og familiedepartementet Justis- og beredskapsdepartementet,,"Familie-, person- og barnerett > Ekteskap og samboerskap (husstandsfellesskap)",1993-01-01,2026-01-01,lov/2025-06-20-39 fra 2026-01-01,,,2026-03-06 (departement),lov/1991-07-04-47,https://lovdata.no/lov/1991-07-04-47
lov,nl-19910720-067.xml,NL/lov/1991-07-20-67,LOV-1991-07-20-67,Lov om overføring av domfelte,Lov om overføring av domfelte - domfovfl,Justis- og beredskapsdepartementet,,Internasjonal rett > Konvensjoner. Overenskomster Sivil- og straffeprosess > Straffeprosess/straffeprosessloven > Utlevering Sivil- og straffeprosess > Straffegjennomføring,1993-04-01,2017-01-01,lov/2016-12-16-98 fra 2017-01-01,,,2022-05-05 (struktur og tegnsetting i lister i konvensjon tilpasset universell utforming),lov/1991-07-20-67,https://lovdata.no/lov/1991-07-20-67
lov,nl-19920515-047.xml,NL/lov/1992-05-15-47,LOV-1992-05-15-47,Lov om laksefisk og innlandsfisk mv. (lakse- og innlandsfiskloven),Lakse- og innlandsfiskloven - laksfl,Klima- og miljødepartementet,,"Landbruk, jakt og skogbruk > Jakt og innlandsfiske",1993-01-01,2025-07-01,lov/2025-06-20-88 fra 2025-07-01,,,2022-04-04 (tegnsetting i lister tilpasset universell utforming),lov/1992-05-15-47,https://lovdata.no/lov/1992-05-15-47
lov,nl-19920529-050.xml,NL/lov/1992-05-29-50,LOV-1992-05-29-50,Lov om inspeksjoner i samsvar med Avtalen om konvensjonelle styrker i Europa (CFE-avtalen) og om immunitet og privilegier for inspektørene m.fl,Lov om inspeksjoner av styrker i Europa,Utenriksdepartementet,,"Internasjonal rett > Konvensjoner. Overenskomster Stats-, statsforfatnings- og statsborgerrett > Forsvaret Svalbard og biland > Generelt",1992-11-09,2015-10-01,lov/2015-06-19-65 fra 2015-10-01,,,2021-07-07 (faglige fotnoter fjernet),lov/1992-05-29-50,https://lovdata.no/lov/1992-05-29-50
lov,nl-19920619-056.xml,NL/lov/1992-06-19-56,LOV-1992-06-19-56,Lov om handelsagenter og handelsreisende (agenturloven),Agenturloven - agl,Justis- og beredskapsdepartementet,,EU/EØS-rett > Forskning og utdanning Næringsrett > Handel og tjenester,1993-01-01,2006-01-01,lov/2005-06-17-62 fra 2006-01-01,,,"2021-08-24 (faglige fotnoter fjernet, UU-tilpasset)",lov/1992-06-19-56,https://lovdata.no/lov/1992-06-19-56
lov,nl-19920619-059.xml,NL/lov/1992-06-19-59,LOV-1992-06-19-59,Lov om bygdeallmenninger,Bygdeallmenningsloven - bgdalml,Landbruks- og matdepartementet,,"Landbruk, jakt og skogbruk > Skogbruk",1993-01-01,2019-07-01,lov/2019-05-24-18 fra 2019-07-01,,,2022-04-04 (tegnsetting i lister tilpasset universell utforming),lov/1992-06-19-59,https://lovdata.no/lov/1992-06-19-59
lov,nl-19920619-060.xml,NL/lov/1992-06-19-60,LOV-1992-06-19-60,Lov om skogsdrift m.v. i statsallmenningene,Statsallmenningsloven - statsalml,Landbruks- og matdepartementet,,"Landbruk, jakt og skogbruk > Skogbruk",1993-01-01,2023-06-09,lov/2023-06-09-32,,,2022-04-04 (tegnsetting i lister tilpasset universell utforming),lov/1992-06-19-60,https://lovdata.no/lov/1992-06-19-60
